Start,Stop,Event
4837,4910,"node=""N161->N162"";neg_log_likelihood=""228.578243"";taxa=""   BT_Cry50Ba1  NOV_Cry4Ba1_63.8_OUB35623.1 NOV_Cry4Ba1_63.7_AJW76684.1  BT_Cry50Aa1  BT_Cry4Ba1 BT_Cry4Ba3  NOV_Cry30Ca1_66.6_BAD00052.1  BT_Cry30Ca1     BT_Cry30Ga1  BT_Cry30Db1 BT_Cry30Da1 NOV_Cry30Ga2_64.5_ARJ25665.1 BT_Cry30Fa1  BT_Cry30Ea1 BT_Cry30Aa1"";snp_count=""20"";"
2277,3153,"node=""N188->NOV_Cry48Aa1_36.6_CAH33948.1"";neg_log_likelihood=""98.953378"";taxa=""NOV_Cry48Aa1_36.6_CAH33948.1"";snp_count=""29"";"
2646,3240,"node=""N188->NOV_Cry48Aa1_36.9_CAH33950.1"";neg_log_likelihood=""144.448216"";taxa=""NOV_Cry48Aa1_36.9_CAH33950.1"";snp_count=""34"";"
1836,2415,"node=""N188->NOV_Cry48Aa1_36.9_CAH33950.1"";neg_log_likelihood=""92.357106"";taxa=""NOV_Cry48Aa1_36.9_CAH33950.1"";snp_count=""29"";"
2237,2652,"node=""N190->BT_Cry57Ab1"";neg_log_likelihood=""138.413437"";taxa=""BT_Cry57Ab1"";snp_count=""48"";"
2684,3137,"node=""N193->N194"";neg_log_likelihood=""469.439573"";taxa="" NOV_Cry27Aa1_80.8_AGV55018.1 BT_Cry27Aa1"";snp_count=""44"";"
2632,3154,"node=""N199->NOV_Cry56Aa4_56.4_PEU80288.1"";neg_log_likelihood=""279.792486"";taxa=""NOV_Cry56Aa4_56.4_PEU80288.1"";snp_count=""65"";"
3909,4234,"node=""N199->NOV_Cry56Aa4_56.4_PEU80288.1"";neg_log_likelihood=""232.738168"";taxa=""NOV_Cry56Aa4_56.4_PEU80288.1"";snp_count=""22"";"
2268,2438,"node=""N201->NOV_Cry56Aa4_77.6_ARJ25668.1"";neg_log_likelihood=""155.028440"";taxa=""NOV_Cry56Aa4_77.6_ARJ25668.1"";snp_count=""24"";"
3735,4387,"node=""N201->NOV_Cry56Aa4_77.6_ARJ25668.1"";neg_log_likelihood=""127.491225"";taxa=""NOV_Cry56Aa4_77.6_ARJ25668.1"";snp_count=""26"";"
202,619,"node=""N198->N199"";neg_log_likelihood=""143.822094"";taxa="" NOV_Cry56Aa2_56.0_AGV55019.1 NOV_Cry56Aa4_56.4_PEU80288.1"";snp_count=""30"";"
2252,2498,"node=""N197->N202"";neg_log_likelihood=""433.777106"";taxa="" BT_Cry29Aa1 NOV_Cry29Aa1_96.4_OUC03129.1"";snp_count=""36"";"
2676,3075,"node=""N197->N202"";neg_log_likelihood=""413.431517"";taxa="" BT_Cry29Aa1 NOV_Cry29Aa1_96.4_OUC03129.1"";snp_count=""35"";"
2496,2935,"node=""N191->NOV_Cry4Ba1_31.6_AUM94650.1"";neg_log_likelihood=""496.060301"";taxa=""NOV_Cry4Ba1_31.6_AUM94650.1"";snp_count=""106"";"
2493,2655,"node=""N189->N190"";neg_log_likelihood=""541.850412"";taxa="" BT_Cry57Ab1 NOV_Cry57Ab1_90.3_ACN87261.1"";snp_count=""67"";"
1874,1898,"node=""N145->BT_Cry44Aa1"";neg_log_likelihood=""524.159845"";taxa=""BT_Cry44Aa1"";snp_count=""17"";"
1831,1883,"node=""N209->BT_Cry53Aa1"";neg_log_likelihood=""148.964729"";taxa=""BT_Cry53Aa1"";snp_count=""15"";"
4092,4992,"node=""N212->NOV_Cry71Aa1_65.9_PEU78325.1"";neg_log_likelihood=""265.783268"";taxa=""NOV_Cry71Aa1_65.9_PEU78325.1"";snp_count=""89"";"
276,600,"node=""N212->NOV_Cry71Aa1_65.9_PEU78325.1"";neg_log_likelihood=""190.830422"";taxa=""NOV_Cry71Aa1_65.9_PEU78325.1"";snp_count=""29"";"
3855,3996,"node=""N212->BT_Cry71Aa1"";neg_log_likelihood=""189.361048"";taxa=""BT_Cry71Aa1"";snp_count=""20"";"
4332,4885,"node=""N212->BT_Cry71Aa1"";neg_log_likelihood=""164.284008"";taxa=""BT_Cry71Aa1"";snp_count=""37"";"
2955,3569,"node=""N216->BT_Cry43Ca1"";neg_log_likelihood=""103.706099"";taxa=""BT_Cry43Ca1"";snp_count=""26"";"
2264,2418,"node=""N214->N215"";neg_log_likelihood=""180.581882"";taxa="" BT_Cry43Cb1  BT_Cry43Cc1 BT_Cry43Ca1"";snp_count=""19"";"
2642,2987,"node=""N214->BT_Cry43Aa1"";neg_log_likelihood=""348.768626"";taxa=""BT_Cry43Aa1"";snp_count=""32"";"
2780,3002,"node=""N210->N213"";neg_log_likelihood=""331.431476"";taxa="" BT_Cry43Ba1   BT_Cry43Cb1  BT_Cry43Cc1 BT_Cry43Ca1 BT_Cry43Aa1"";snp_count=""22"";"
248,603,"node=""N218->NOV_Cry53Ab1_40.9_APA45008.1"";neg_log_likelihood=""205.637306"";taxa=""NOV_Cry53Ab1_40.9_APA45008.1"";snp_count=""27"";"
4389,4576,"node=""N217->N218"";neg_log_likelihood=""204.799253"";taxa="" NOV_Cry53Aa1_40.7_WP_103591149.1 NOV_Cry53Ab1_40.9_APA45008.1"";snp_count=""16"";"
2501,2915,"node=""N217->N218"";neg_log_likelihood=""184.077818"";taxa="" NOV_Cry53Aa1_40.7_WP_103591149.1 NOV_Cry53Ab1_40.9_APA45008.1"";snp_count=""30"";"
3730,5049,"node=""N224->BT_Cry8Kb1"";neg_log_likelihood=""86.920653"";taxa=""BT_Cry8Kb1"";snp_count=""66"";"
3819,4890,"node=""N224->N225"";neg_log_likelihood=""124.497981"";taxa="" BT_Cry8Ka1 BT_Cry8Ka3"";snp_count=""108"";"
4213,4582,"node=""N223->NOV_Cry8Kb1_73.3_APT36283.1"";neg_log_likelihood=""245.012900"";taxa=""NOV_Cry8Kb1_73.3_APT36283.1"";snp_count=""34"";"
4704,4984,"node=""N223->NOV_Cry8Kb1_73.3_APT36283.1"";neg_log_likelihood=""207.078791"";taxa=""NOV_Cry8Kb1_73.3_APT36283.1"";snp_count=""30"";"
3638,3864,"node=""N223->NOV_Cry8Kb1_73.3_APT36283.1"";neg_log_likelihood=""173.312795"";taxa=""NOV_Cry8Kb1_73.3_APT36283.1"";snp_count=""21"";"
4361,4636,"node=""N222->BT_Cry8Ga1"";neg_log_likelihood=""349.365702"";taxa=""BT_Cry8Ga1"";snp_count=""41"";"
4361,4641,"node=""N227->BT_Cry8Sa1"";neg_log_likelihood=""377.463325"";taxa=""BT_Cry8Sa1"";snp_count=""44"";"
307,610,"node=""N227->BT_Cry8Sa1"";neg_log_likelihood=""346.592771"";taxa=""BT_Cry8Sa1"";snp_count=""42"";"
1826,1963,"node=""N226->N227"";neg_log_likelihood=""320.490502"";taxa="" BT_Cry8Na1 BT_Cry8Sa1"";snp_count=""31"";"
2519,2782,"node=""N226->N227"";neg_log_likelihood=""293.708127"";taxa="" BT_Cry8Na1 BT_Cry8Sa1"";snp_count=""36"";"
1863,1983,"node=""N226->N228"";neg_log_likelihood=""417.365478"";taxa="" NOV_Cry8Ca1_42.6_ABY46520.1 NOV_Cry8Ca1_41.2_AST51780.1"";snp_count=""34"";"
2115,2822,"node=""N230->BT_Cry8Ib1"";neg_log_likelihood=""114.656720"";taxa=""BT_Cry8Ib1"";snp_count=""27"";"
2517,3062,"node=""N230->BT_Cry8Ia3"";neg_log_likelihood=""116.245733"";taxa=""BT_Cry8Ia3"";snp_count=""27"";"
4328,4600,"node=""N239->BT_Cry9Ba1"";neg_log_likelihood=""246.070488"";taxa=""BT_Cry9Ba1"";snp_count=""32"";"
4735,4920,"node=""N238->BT_Cry9Ee1"";neg_log_likelihood=""241.189346"";taxa=""BT_Cry9Ee1"";snp_count=""21"";"
2378,2939,"node=""N238->N239"";neg_log_likelihood=""363.622551"";taxa="" BT_Cry9Bb1 BT_Cry9Ba1"";snp_count=""84"";"
3342,3356,"node=""N238->N239"";neg_log_likelihood=""301.989754"";taxa="" BT_Cry9Bb1 BT_Cry9Ba1"";snp_count=""12"";"
1847,2101,"node=""N238->N239"";neg_log_likelihood=""292.852156"";taxa="" BT_Cry9Bb1 BT_Cry9Ba1"";snp_count=""40"";"
4166,5014,"node=""N244->BT_Cry9Dc1"";neg_log_likelihood=""129.929528"";taxa=""BT_Cry9Dc1"";snp_count=""76"";"
2066,3067,"node=""N243->N244"";neg_log_likelihood=""313.895068"";taxa="" BT_Cry9Dc1 BT_Cry9Db1"";snp_count=""182"";"
3172,3816,"node=""N243->N244"";neg_log_likelihood=""191.112110"";taxa="" BT_Cry9Dc1 BT_Cry9Db1"";snp_count=""57"";"
1824,2040,"node=""N243->N244"";neg_log_likelihood=""124.758632"";taxa="" BT_Cry9Dc1 BT_Cry9Db1"";snp_count=""38"";"
2237,2985,"node=""N242->N243"";neg_log_likelihood=""367.921452"";taxa=""  BT_Cry9Dc1 BT_Cry9Db1 BT_Cry9Da1"";snp_count=""140"";"
3290,3534,"node=""N242->N243"";neg_log_likelihood=""273.430525"";taxa=""  BT_Cry9Dc1 BT_Cry9Db1 BT_Cry9Da1"";snp_count=""47"";"
244,831,"node=""N242->BT_Cry9Eb1"";neg_log_likelihood=""88.135720"";taxa=""BT_Cry9Eb1"";snp_count=""24"";"
582,773,"node=""N241->N242"";neg_log_likelihood=""190.039370"";taxa=""   BT_Cry9Dc1 BT_Cry9Db1 BT_Cry9Da1 BT_Cry9Eb1"";snp_count=""25"";"
876,1121,"node=""N241->N242"";neg_log_likelihood=""159.669552"";taxa=""   BT_Cry9Dc1 BT_Cry9Db1 BT_Cry9Da1 BT_Cry9Eb1"";snp_count=""20"";"
3816,4183,"node=""N241->N242"";neg_log_likelihood=""132.873335"";taxa=""   BT_Cry9Dc1 BT_Cry9Db1 BT_Cry9Da1 BT_Cry9Eb1"";snp_count=""22"";"
4305,5053,"node=""N241->BT_Cry9Ea10"";neg_log_likelihood=""177.313107"";taxa=""BT_Cry9Ea10"";snp_count=""83"";"
4738,5032,"node=""N245->BT_Cry9Ec1"";neg_log_likelihood=""136.919206"";taxa=""BT_Cry9Ec1"";snp_count=""28"";"
2237,2958,"node=""N240->N241"";neg_log_likelihood=""210.556853"";taxa=""    BT_Cry9Dc1 BT_Cry9Db1 BT_Cry9Da1 BT_Cry9Eb1 BT_Cry9Ea10"";snp_count=""90"";"
184,760,"node=""N235->N236"";neg_log_likelihood=""177.979176"";taxa=""   BT_Cry9Ee1  BT_Cry9Bb1 BT_Cry9Ba1      BT_Cry9Dc1 BT_Cry9Db1 BT_Cry9Da1 BT_Cry9Eb1 BT_Cry9Ea10  BT_Cry9Ed1 BT_Cry9Ec1 BT_Cry9Fa1"";snp_count=""54"";"
826,1136,"node=""N235->N236"";neg_log_likelihood=""115.149889"";taxa=""   BT_Cry9Ee1  BT_Cry9Bb1 BT_Cry9Ba1      BT_Cry9Dc1 BT_Cry9Db1 BT_Cry9Da1 BT_Cry9Eb1 BT_Cry9Ea10  BT_Cry9Ed1 BT_Cry9Ec1 BT_Cry9Fa1"";snp_count=""21"";"
3566,5055,"node=""N252->NOV_Cry8Ab1_80.3_AFP44678.1"";neg_log_likelihood=""161.575588"";taxa=""NOV_Cry8Ab1_80.3_AFP44678.1"";snp_count=""133"";"
3856,4651,"node=""N252->BT_Cry8Ac1"";neg_log_likelihood=""222.839604"";taxa=""BT_Cry8Ac1"";snp_count=""71"";"
4699,5013,"node=""N252->BT_Cry8Ac1"";neg_log_likelihood=""151.434904"";taxa=""BT_Cry8Ac1"";snp_count=""29"";"
321,761,"node=""N252->BT_Cry8Ac1"";neg_log_likelihood=""119.379761"";taxa=""BT_Cry8Ac1"";snp_count=""19"";"
3755,5011,"node=""N253->BT_Cry8Ab1"";neg_log_likelihood=""153.589902"";taxa=""BT_Cry8Ab1"";snp_count=""107"";"
3821,5014,"node=""N253->NOV_Cry8Ab1_80.0_AMR06151.1"";neg_log_likelihood=""160.974585"";taxa=""NOV_Cry8Ab1_80.0_AMR06151.1"";snp_count=""70"";"
3820,4697,"node=""N251->N252"";neg_log_likelihood=""85.706888"";taxa="" NOV_Cry8Ab1_80.3_AFP44678.1 BT_Cry8Ac1"";snp_count=""25"";"
3727,5049,"node=""N255->BT_Cry8Db1"";neg_log_likelihood=""140.030193"";taxa=""BT_Cry8Db1"";snp_count=""199"";"
2640,3173,"node=""N249->N250"";neg_log_likelihood=""123.444827"";taxa=""   NOV_Cry8Ab1_80.3_AFP44678.1 BT_Cry8Ac1  BT_Cry8Ab1 NOV_Cry8Ab1_80.0_AMR06151.1  BT_Cry8Aa1 BT_Cry8Ad1"";snp_count=""27"";"
4148,4400,"node=""N247->BT_Cry8Ta1"";neg_log_likelihood=""459.562415"";taxa=""BT_Cry8Ta1"";snp_count=""50"";"
4844,4903,"node=""N256->NOV_Cry8Aa1_47.1_EEM92570.1"";neg_log_likelihood=""433.764106"";taxa=""NOV_Cry8Aa1_47.1_EEM92570.1"";snp_count=""26"";"
3733,5015,"node=""N263->BT_Cry1Bb1"";neg_log_likelihood=""137.253802"";taxa=""BT_Cry1Bb1"";snp_count=""183"";"
3718,5064,"node=""N264->BT_Cry1Be1"";neg_log_likelihood=""165.269742"";taxa=""BT_Cry1Be1"";snp_count=""186"";"
2426,3430,"node=""N262->N263"";neg_log_likelihood=""103.496089"";taxa="" BT_Cry1Bb1 BT_Cry1Bd1"";snp_count=""38"";"
869,1120,"node=""N262->N264"";neg_log_likelihood=""235.647635"";taxa="" BT_Cry1Be1 BT_Cry1Bj1"";snp_count=""37"";"
294,618,"node=""N262->N264"";neg_log_likelihood=""200.665172"";taxa="" BT_Cry1Be1 BT_Cry1Bj1"";snp_count=""34"";"
2228,2941,"node=""N260->BT_Cry1Ka2"";neg_log_likelihood=""361.252102"";taxa=""BT_Cry1Ka2"";snp_count=""132"";"
3730,4762,"node=""N260->N261"";neg_log_likelihood=""155.897866"";taxa="" BT_Cry1Bh1   BT_Cry1Bb1 BT_Cry1Bd1  BT_Cry1Be1 BT_Cry1Bj1"";snp_count=""84"";"
3858,5061,"node=""N266->BT_Cry1Ba1"";neg_log_likelihood=""201.888882"";taxa=""BT_Cry1Ba1"";snp_count=""176"";"
3241,3824,"node=""N266->BT_Cry1Ba1"";neg_log_likelihood=""85.804599"";taxa=""BT_Cry1Ba1"";snp_count=""26"";"
3713,5061,"node=""N267->BT_Cry1Bi1"";neg_log_likelihood=""137.550564"";taxa=""BT_Cry1Bi1"";snp_count=""199"";"
273,579,"node=""N259->N260"";neg_log_likelihood=""149.716855"";taxa="" BT_Cry1Ka2  BT_Cry1Bh1   BT_Cry1Bb1 BT_Cry1Bd1  BT_Cry1Be1 BT_Cry1Bj1"";snp_count=""19"";"
4695,4994,"node=""N259->N265"";neg_log_likelihood=""319.510253"";taxa=""  BT_Cry1Ba1 BT_Cry1Bf1  BT_Cry1Bi1 BT_Cry1Bg1"";snp_count=""39"";"
2224,2978,"node=""N274->BT_Cry1Ma1"";neg_log_likelihood=""322.662703"";taxa=""BT_Cry1Ma1"";snp_count=""140"";"
3236,3535,"node=""N274->BT_Cry1Ma1"";neg_log_likelihood=""224.583420"";taxa=""BT_Cry1Ma1"";snp_count=""37"";"
1969,2103,"node=""N274->BT_Cry1Ma1"";neg_log_likelihood=""192.547095"";taxa=""BT_Cry1Ma1"";snp_count=""25"";"
573,1157,"node=""N273->N274"";neg_log_likelihood=""52.213931"";taxa="" BT_Cry1Ma1 BT_Cry1Id1"";snp_count=""19"";"
3905,4920,"node=""N273->BT_Cry1Ig1"";neg_log_likelihood=""225.819188"";taxa=""BT_Cry1Ig1"";snp_count=""126"";"
1014,1480,"node=""N273->BT_Cry1Ig1"";neg_log_likelihood=""136.020479"";taxa=""BT_Cry1Ig1"";snp_count=""22"";"
2761,2928,"node=""N268->NOV_Cry1Ie5_79.3_PQQ47595.1"";neg_log_likelihood=""219.540402"";taxa=""NOV_Cry1Ie5_79.3_PQQ47595.1"";snp_count=""16"";"
3879,4993,"node=""N279->BT_Cry1Fa1"";neg_log_likelihood=""163.492732"";taxa=""BT_Cry1Fa1"";snp_count=""109"";"
3814,4892,"node=""N282->NOV_Cry1Jc1_99.1_AAS93799.1"";neg_log_likelihood=""147.613229"";taxa=""NOV_Cry1Jc1_99.1_AAS93799.1"";snp_count=""69"";"
3861,5061,"node=""N282->BT_Cry1Jd1"";neg_log_likelihood=""143.065519"";taxa=""BT_Cry1Jd1"";snp_count=""71"";"
4242,4890,"node=""N281->BT_Cry1Jb1"";neg_log_likelihood=""172.831060"";taxa=""BT_Cry1Jb1"";snp_count=""45"";"
3734,4599,"node=""N281->N282"";neg_log_likelihood=""211.953925"";taxa="" NOV_Cry1Jc1_99.1_AAS93799.1 BT_Cry1Jd1"";snp_count=""65"";"
4690,5012,"node=""N281->N282"";neg_log_likelihood=""140.284865"";taxa="" NOV_Cry1Jc1_99.1_AAS93799.1 BT_Cry1Jd1"";snp_count=""31"";"
4167,5014,"node=""N280->N281"";neg_log_likelihood=""179.220322"";taxa="" BT_Cry1Jb1  NOV_Cry1Jc1_99.1_AAS93799.1 BT_Cry1Jd1"";snp_count=""71"";"
2386,2621,"node=""N278->N279"";neg_log_likelihood=""321.002820"";taxa="" BT_Cry1Fb1 BT_Cry1Fa1"";snp_count=""35"";"
2511,2784,"node=""N278->N280"";neg_log_likelihood=""316.258686"";taxa=""  BT_Cry1Jb1  NOV_Cry1Jc1_99.1_AAS93799.1 BT_Cry1Jd1 BT_Cry1Ja1"";snp_count=""38"";"
2312,2619,"node=""N287->NOV_Cry1Da1_83.2_AIW52615.1"";neg_log_likelihood=""274.372063"";taxa=""NOV_Cry1Da1_83.2_AIW52615.1"";snp_count=""34"";"
4336,4635,"node=""N287->NOV_Cry1Da1_83.2_AIW52615.1"";neg_log_likelihood=""239.898346"";taxa=""NOV_Cry1Da1_83.2_AIW52615.1"";snp_count=""30"";"
2764,3067,"node=""N287->NOV_Cry1Da1_83.2_AIW52615.1"";neg_log_likelihood=""212.149923"";taxa=""NOV_Cry1Da1_83.2_AIW52615.1"";snp_count=""22"";"
979,1719,"node=""N286->N287"";neg_log_likelihood=""145.459788"";taxa="" BT_Cry1Db1 NOV_Cry1Da1_83.2_AIW52615.1"";snp_count=""37"";"
3905,5011,"node=""N285->N286"";neg_log_likelihood=""169.651585"";taxa=""  BT_Cry1Db1 NOV_Cry1Da1_83.2_AIW52615.1 BT_Cry1Da1"";snp_count=""124"";"
51,202,"node=""N285->N286"";neg_log_likelihood=""72.860433"";taxa=""  BT_Cry1Db1 NOV_Cry1Da1_83.2_AIW52615.1 BT_Cry1Da1"";snp_count=""23"";"
221,762,"node=""N285->NOV_Cry1Da1_84.8_ABK35074.1"";neg_log_likelihood=""157.686570"";taxa=""NOV_Cry1Da1_84.8_ABK35074.1"";snp_count=""64"";"
3469,4037,"node=""N291->BT_Cry1Ag1"";neg_log_likelihood=""98.060883"";taxa=""BT_Cry1Ag1"";snp_count=""24"";"
2033,2510,"node=""N291->BT_Cry1Ag1"";neg_log_likelihood=""56.176871"";taxa=""BT_Cry1Ag1"";snp_count=""22"";"
220,785,"node=""N292->NOV_Cry1Ad2_87.7_AIW52617.1"";neg_log_likelihood=""219.641646"";taxa=""NOV_Cry1Ad2_87.7_AIW52617.1"";snp_count=""94"";"
809,1095,"node=""N292->NOV_Cry1Ad2_87.7_AIW52617.1"";neg_log_likelihood=""133.656477"";taxa=""NOV_Cry1Ad2_87.7_AIW52617.1"";snp_count=""37"";"
870,1647,"node=""N294->BT_Cry1A-like"";neg_log_likelihood=""234.563536"";taxa=""BT_Cry1A-like"";snp_count=""90"";"
1840,2250,"node=""N294->BT_Cry1A-like"";neg_log_likelihood=""163.309170"";taxa=""BT_Cry1A-like"";snp_count=""29"";"
2495,2958,"node=""N294->BT_Cry1A-like"";neg_log_likelihood=""129.306807"";taxa=""BT_Cry1A-like"";snp_count=""27"";"
796,1155,"node=""N297->NOV_Cry1Ab12_91.4_AAK14338.1"";neg_log_likelihood=""129.791533"";taxa=""NOV_Cry1Ab12_91.4_AAK14338.1"";snp_count=""58"";"
2958,4030,"node=""N297->BT_Cry1Ab2"";neg_log_likelihood=""65.698944"";taxa=""BT_Cry1Ab2"";snp_count=""37"";"
220,1098,"node=""N300->BT_Cry1Ah2"";neg_log_likelihood=""149.054672"";taxa=""BT_Cry1Ah2"";snp_count=""134"";"
2408,3529,"node=""N298->BT_Cry1Ai1"";neg_log_likelihood=""169.299159"";taxa=""BT_Cry1Ai1"";snp_count=""113"";"
1544,2383,"node=""N298->BT_Cry1Ai1"";neg_log_likelihood=""52.373175"";taxa=""BT_Cry1Ai1"";snp_count=""33"";"
3652,5053,"node=""N295->N298"";neg_log_likelihood=""142.161545"";taxa="" BT_Cry1Ai1  BT_Cry1Ac39  BT_Cry1Ah2 NOV_Cry1Ac23_90.7_CAQ03747.1"";snp_count=""208"";"
2650,3462,"node=""N289->N290"";neg_log_likelihood=""68.614326"";taxa=""  BT_Cry1Aa10 BT_Cry1Ag1  NOV_Cry1Ad2_87.7_AIW52617.1 BT_Cry1Ad1"";snp_count=""28"";"
2248,3349,"node=""N289->N293"";neg_log_likelihood=""118.745540"";taxa=""  BT_Cry1A-like NOV_Cry1Ab32_92.7_AAK14337.1   BT_Cry1Ab12  NOV_Cry1Ab12_91.4_AAK14338.1 BT_Cry1Ab2  BT_Cry1Ai1  BT_Cry1Ac39  BT_Cry1Ah2 NOV_Cry1Ac23_90.7_CAQ03747.1"";snp_count=""57"";"
46,299,"node=""N302->BT_Cry1Ea10"";neg_log_likelihood=""91.632778"";taxa=""BT_Cry1Ea10"";snp_count=""28"";"
563,1099,"node=""N302->BT_Cry1Ea10"";neg_log_likelihood=""37.664790"";taxa=""BT_Cry1Ea10"";snp_count=""26"";"
54,612,"node=""N302->NOV_Cry1Ea10_93.2_AAX86871.1"";neg_log_likelihood=""54.507088"";taxa=""NOV_Cry1Ea10_93.2_AAX86871.1"";snp_count=""30"";"
3974,4921,"node=""N301->BT_Cry1Eb1"";neg_log_likelihood=""266.966934"";taxa=""BT_Cry1Eb1"";snp_count=""106"";"
4154,4861,"node=""N301->N302"";neg_log_likelihood=""112.379827"";taxa="" BT_Cry1Ea10 NOV_Cry1Ea10_93.2_AAX86871.1"";snp_count=""37"";"
1971,2039,"node=""N288->N289"";neg_log_likelihood=""242.432437"";taxa=""   BT_Cry1Aa10 BT_Cry1Ag1  NOV_Cry1Ad2_87.7_AIW52617.1 BT_Cry1Ad1   BT_Cry1A-like NOV_Cry1Ab32_92.7_AAK14337.1   BT_Cry1Ab12  NOV_Cry1Ab12_91.4_AAK14338.1 BT_Cry1Ab2  BT_Cry1Ai1  BT_Cry1Ac39  BT_Cry1Ah2 NOV_Cry1Ac23_90.7_CAQ03747.1"";snp_count=""12"";"
4846,4923,"node=""N288->N301"";neg_log_likelihood=""311.727331"";taxa="" BT_Cry1Eb1  BT_Cry1Ea10 NOV_Cry1Ea10_93.2_AAX86871.1"";snp_count=""24"";"
2506,2938,"node=""N284->N285"";neg_log_likelihood=""276.703213"";taxa=""   BT_Cry1Db1 NOV_Cry1Da1_83.2_AIW52615.1 BT_Cry1Da1 NOV_Cry1Da1_84.8_ABK35074.1"";snp_count=""39"";"
1812,1987,"node=""N284->N285"";neg_log_likelihood=""237.561150"";taxa=""   BT_Cry1Db1 NOV_Cry1Da1_83.2_AIW52615.1 BT_Cry1Da1 NOV_Cry1Da1_84.8_ABK35074.1"";snp_count=""29"";"
2122,2388,"node=""N284->N285"";neg_log_likelihood=""209.289686"";taxa=""   BT_Cry1Db1 NOV_Cry1Da1_83.2_AIW52615.1 BT_Cry1Da1 NOV_Cry1Da1_84.8_ABK35074.1"";snp_count=""26"";"
1118,1522,"node=""N284->N285"";neg_log_likelihood=""182.110072"";taxa=""   BT_Cry1Db1 NOV_Cry1Da1_83.2_AIW52615.1 BT_Cry1Da1 NOV_Cry1Da1_84.8_ABK35074.1"";snp_count=""21"";"
3059,3651,"node=""N284->N285"";neg_log_likelihood=""157.614930"";taxa=""   BT_Cry1Db1 NOV_Cry1Da1_83.2_AIW52615.1 BT_Cry1Da1 NOV_Cry1Da1_84.8_ABK35074.1"";snp_count=""35"";"
3828,4157,"node=""N306->BT_Cry1Hb1"";neg_log_likelihood=""182.652311"";taxa=""BT_Cry1Hb1"";snp_count=""19"";"
4242,5064,"node=""N306->NOV_Cry1Ha1_85.7_AIW52616.1"";neg_log_likelihood=""138.369494"";taxa=""NOV_Cry1Ha1_85.7_AIW52616.1"";snp_count=""49"";"
3976,4249,"node=""N304->BT_Cry1La1"";neg_log_likelihood=""312.083415"";taxa=""BT_Cry1La1"";snp_count=""31"";"
2523,3059,"node=""N308->BT_Cry1Ga2"";neg_log_likelihood=""313.527305"";taxa=""BT_Cry1Ga2"";snp_count=""68"";"
3897,5030,"node=""N310->BT_Cry1Cb1"";neg_log_likelihood=""173.265193"";taxa=""BT_Cry1Cb1"";snp_count=""100"";"
4293,4847,"node=""N310->BT_Cry1Ca11"";neg_log_likelihood=""166.562372"";taxa=""BT_Cry1Ca11"";snp_count=""37"";"
3724,4162,"node=""N310->BT_Cry1Ca11"";neg_log_likelihood=""119.044857"";taxa=""BT_Cry1Ca11"";snp_count=""22"";"
4357,4579,"node=""N309->N310"";neg_log_likelihood=""284.262489"";taxa="" BT_Cry1Cb1 BT_Cry1Ca11"";snp_count=""23"";"
2483,2746,"node=""N276->N309"";neg_log_likelihood=""177.458193"";taxa=""  BT_Cry1Cb1 BT_Cry1Ca11  BT_Cry1Na1 BT_Cry1Nb1"";snp_count=""25"";"
238,488,"node=""N314->BT_Cry3Aa10"";neg_log_likelihood=""225.572896"";taxa=""BT_Cry3Aa10"";snp_count=""49"";"
803,1015,"node=""N314->BT_Cry3Aa10"";neg_log_likelihood=""168.975870"";taxa=""BT_Cry3Aa10"";snp_count=""49"";"
1591,2248,"node=""N314->BT_Cry3Aa10"";neg_log_likelihood=""78.403977"";taxa=""BT_Cry3Aa10"";snp_count=""85"";"
803,1014,"node=""N313->N314"";neg_log_likelihood=""273.213144"";taxa="" NOV_Cry3Aa12_81.9_AEZ53144.1 BT_Cry3Aa10"";snp_count=""41"";"
238,490,"node=""N313->N314"";neg_log_likelihood=""236.395323"";taxa="" NOV_Cry3Aa12_81.9_AEZ53144.1 BT_Cry3Aa10"";snp_count=""37"";"
1596,1814,"node=""N313->N314"";neg_log_likelihood=""200.222446"";taxa="" NOV_Cry3Aa12_81.9_AEZ53144.1 BT_Cry3Aa10"";snp_count=""31"";"
2059,2248,"node=""N313->N314"";neg_log_likelihood=""165.384568"";taxa="" NOV_Cry3Aa12_81.9_AEZ53144.1 BT_Cry3Aa10"";snp_count=""32"";"
4338,4651,"node=""N312->N315"";neg_log_likelihood=""280.246067"";taxa="" BT_Cry3Ba1 BT_Cry3Bb1"";snp_count=""31"";"
496,593,"node=""N275->N312"";neg_log_likelihood=""417.247546"";taxa=""   NOV_Cry3Aa12_81.9_AEZ53144.1 BT_Cry3Aa10 BT_Cry3Ca1  BT_Cry3Ba1 BT_Cry3Bb1"";snp_count=""30"";"
2774,2977,"node=""N275->N312"";neg_log_likelihood=""395.837543"";taxa=""   NOV_Cry3Aa12_81.9_AEZ53144.1 BT_Cry3Aa10 BT_Cry3Ca1  BT_Cry3Ba1 BT_Cry3Bb1"";snp_count=""29"";"
